"id","age","date_of_birth","has_address","surname","phone_numer","given_name","soc_sec_id"
"http://www.okkam.org/oaie/person1-Person2190","22","19410828","http://www.okkam.org/oaie/person1-address2190","bode","","ashlie","5674744"
"http://www.okkam.org/oaie/person1-Person3820","29","19200712","http://www.okkam.org/oaie/person1-address3820","pantzikas","02 93807056","riley","1194618"
"http://www.okkam.org/oaie/person1-Person3020","41","19470415","http://www.okkam.org/oaie/person1-address3020","turner","02 21054454","liam","5006165"
"http://www.okkam.org/oaie/person1-Person2180","","19300713","http://www.okkam.org/oaie/person1-address2180","morgan","02 67299144","chelsea","4359208"
"http://www.okkam.org/oaie/person1-Person3210","24","19070604","http://www.okkam.org/oaie/person1-address3210","crompton","08 09123081","riley","8249843"
"http://www.okkam.org/oaie/person1-Person4950","33","19050319","http://www.okkam.org/oaie/person1-address4950","gunawardana","03 27824409","reegan","8544369"
"http://www.okkam.org/oaie/person1-Person3940","","19680331","http://www.okkam.org/oaie/person1-address3940","cummings","07 45089814","nikita","8410711"
"http://www.okkam.org/oaie/person1-Person3840","33","19671022","http://www.okkam.org/oaie/person1-address3840","rowland","04 46170102","elly","6619542"
"http://www.okkam.org/oaie/person1-Person2970","40","19880805","http://www.okkam.org/oaie/person1-address2970","clarke","08 28599865","oliver","6669696"
"http://www.okkam.org/oaie/person1-Person3950","30","19770828","http://www.okkam.org/oaie/person1-address3950","ezzy","04 33665844","charlotte","8171353"
"http://www.okkam.org/oaie/person1-Person3850","23","19580706","http://www.okkam.org/oaie/person1-address3850","steel","07 15399362","robbie","2999949"
"http://www.okkam.org/oaie/person1-Person3260","32","19561106","http://www.okkam.org/oaie/person1-address3260","brown","03 12554246","","2433042"
"http://www.okkam.org/oaie/person1-Person3360","29","","http://www.okkam.org/oaie/person1-address3360","camffermann","","nathan","1812350"
"http://www.okkam.org/oaie/person1-Person4870","40","19730509","http://www.okkam.org/oaie/person1-address4870","robb","02 04171508","jaimee","7037382"
"http://www.okkam.org/oaie/person1-Person3250","37","19400531","http://www.okkam.org/oaie/person1-address3250","anderson","04 88639331","kiera","3502997"
"http://www.okkam.org/oaie/person1-Person3670","36","19231010","http://www.okkam.org/oaie/person1-address3670","raimondo","07 94569219","mia","8832990"
"http://www.okkam.org/oaie/person1-Person2920","26","19480513","http://www.okkam.org/oaie/person1-address2920","nguyen","03 64938687","harrison","2426575"
"http://www.okkam.org/oaie/person1-Person4370","","","http://www.okkam.org/oaie/person1-address4370","caines","07 93439717","madeline","1677356"
"http://www.okkam.org/oaie/person1-Person4850","37","19980815","http://www.okkam.org/oaie/person1-address4850","cotton","03 90530065","edward","6195874"
"http://www.okkam.org/oaie/person1-Person3370","31","19590518","http://www.okkam.org/oaie/person1-address3370","paterson","04 35022209","dylan","6859527"
"http://www.okkam.org/oaie/person1-Person4360","38","19511126","http://www.okkam.org/oaie/person1-address4360","freeman","08 90818506","mitchell","3585251"
"http://www.okkam.org/oaie/person1-Person2900","26","19491217","http://www.okkam.org/oaie/person1-address2900","cumberbatch","08 70597870","mikayla","4949085"
"http://www.okkam.org/oaie/person1-Person170","35","19720430","http://www.okkam.org/oaie/person1-address170","hill","07 30801764","niamh","1213976"
"http://www.okkam.org/oaie/person1-Person1760","39","19120510","http://www.okkam.org/oaie/person1-address1760","gregory","","samuel","8044293"
"http://www.okkam.org/oaie/person1-Person3770","30","19171121","http://www.okkam.org/oaie/person1-address3770","jablonski","04 76951835","chelsea","3952505"
"http://www.okkam.org/oaie/person1-Person1780","37","19531031","http://www.okkam.org/oaie/person1-address1780","baldino","08 46855054","elli","1949734"
"http://www.okkam.org/oaie/person1-Person810","21","19340902","http://www.okkam.org/oaie/person1-address810","vears","07 29429222","chelsea","1510593"
"http://www.okkam.org/oaie/person1-Person3760","","19960928","http://www.okkam.org/oaie/person1-address3760","hawthorne","03 69679031","giuliana","1919661"
"http://www.okkam.org/oaie/person1-Person4790","","19770323","http://www.okkam.org/oaie/person1-address4790","mclennan","03 17336989","teal","3675815"
"http://www.okkam.org/oaie/person1-Person1640","36","19410125","http://www.okkam.org/oaie/person1-address1640","","02 79585015","elijah","8477246"
"http://www.okkam.org/oaie/person1-Person4130","31","19971128","http://www.okkam.org/oaie/person1-address4130","mase","04 00037028","emiily","5653771"
"http://www.okkam.org/oaie/person1-Person4780","","19640822","http://www.okkam.org/oaie/person1-address4780","mcnamara","03 65437041","harley","8601605"
"http://www.okkam.org/oaie/person1-Person4070","","19190304","http://www.okkam.org/oaie/person1-address4070","horseman","08 74040567","adam","1075017"
